"BIRD_KEY","proventriculus_plastic_mass","proventriculus_plastic_count","total_plastic_mass","total_plastic_count","proventriculus_tissue_mass"
"NL-28",17.6245,69,17.6583,70,10
"NL-29",0,0,0.0136,2,4.3
"NL-30",0,0,0.034,1,3.8
"NL-31",0.3431,3,0.5223,9,4.6
"NL-32",0.0205,1,0.2336,10,4.9
"NL-33",0.3522,3,0.4317,12,5.1
"NL-34",0,0,0.0305,3,3.6
"NL-35",43.0883,334,43.3145,336,20.3
"NL-36",0.1388,6,0.2916,25,3.8
"NL-37",0.0911,3,0.3454,8,4.8
"NL-38",28.2806,122,28.5099,145,16.8
"NL-39",0,0,0.2865,2,3.8
"NL-40",63.9624,64,64.2054,71,25.8
"NL-41",0.0511,1,0.3341,18,4.6
"Not banded",0.1819,6,0.1819,6,NA
"PRPE-01",0,0,0,0,NA
"PRPE-02",0,0,0,0,NA
"PRPE-03",0,0,0.0068,2,NA
"RK-01",0,0,0,0,NA
"RK-02",7.9721,38,7.9768,41,NA
"RK-03",0,0,0.6045,5,NA
"RK-04",0,0,0.0784,10,NA
"RK-05",0,0,0.0188,1,NA
"WTSH-01",0.7379,12,0.8113,17,NA
"WTSH-02",0,0,0,0,NA
"WTSH-03",0,0,0,0,NA
