"BIRD_KEY","morphometrics_ID","bird_body_mass","WC","HB","Cul","proventriculus_tissue_mass","proventriculus_plastic_mass","proventriculus_plastic_mass_masses_csv","proventriculus_tissue_mass_masses_csv","plastic_mass_difference","tissue_mass_difference"
"89575",NA,NA,NA,NA,NA,NA,NA,3.6403,NA,NA,NA
"89576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89577",NA,NA,NA,NA,NA,NA,NA,3.7724,NA,NA,NA
"89578",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"89579",NA,NA,NA,NA,NA,NA,NA,0.0129,NA,NA,NA
"89580",NA,NA,NA,NA,NA,NA,NA,14.0253,NA,NA,NA
"89581",NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA
"89582",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"89583",NA,NA,NA,NA,NA,NA,NA,0.5919,NA,NA,NA
"89584",NA,NA,NA,NA,NA,NA,NA,0.296,NA,NA,NA
"89585",NA,NA,NA,NA,NA,NA,NA,0.9595,NA,NA,NA
"89586",NA,NA,NA,NA,NA,NA,NA,7.765,NA,NA,NA
"89587",NA,NA,NA,NA,NA,NA,NA,0.6346,NA,NA,NA
"89588",NA,NA,NA,NA,NA,NA,NA,0.0501,NA,NA,NA
"89589",NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,NA
"89590",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"89591",NA,NA,NA,NA,NA,NA,NA,0.0055,NA,NA,NA
"89592",NA,NA,NA,NA,NA,NA,NA,0.0106,NA,NA,NA
"89593",NA,NA,NA,NA,NA,NA,NA,0.4873,NA,NA,NA
"89594",NA,NA,NA,NA,NA,NA,NA,2.3871,NA,NA,NA
"89595",NA,NA,NA,NA,NA,NA,NA,6.4351,NA,NA,NA
"89596",NA,NA,NA,NA,NA,NA,NA,0.0943,NA,NA,NA
"89597",NA,NA,NA,NA,NA,NA,NA,0.5545,NA,NA,NA
"89598",NA,NA,NA,NA,NA,NA,NA,2.2725,NA,NA,NA
"89599",NA,NA,NA,NA,NA,NA,NA,0.5444,NA,NA,NA
"89600",NA,NA,NA,NA,NA,NA,NA,1.8626,NA,NA,NA
"91106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BW-01",NA,NA,NA,NA,NA,NA,NA,4.0604,NA,NA,NA
"BW-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"BW-03",NA,NA,NA,NA,NA,NA,NA,13.4621,NA,NA,NA
"BW-04",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"BW-05","BW-2025-05",320,265,92.6,40.2,15.2591,25.5274,25.5274,15.3,0,-0.0409000000000006
"BW-06",NA,NA,NA,NA,NA,NA,NA,0.8159,NA,NA,NA
"BW-07",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"BW-08","BW-2025-08",280,254,91.9,40.6,8.4679,2.0614,2.0614,8.5,0,-0.0320999999999998
"BW-09","BW-2025-09",280,262,95.9,43.6,4.4693,0,0,4.5,0,-0.0307000000000004
"BW-10","BW-2025-10",330,244,93.8,41.2,17.412,26.38,26.38,17.4,0,0.0120000000000005
"BW-11","BW-2025-11",290,259,92,40.8,4.5806,0.0031,0.0031,4.6,0,-0.0194000000000001
"BW-12",NA,NA,NA,NA,NA,NA,NA,0.0302,NA,NA,NA
"BW-13","BW-2025-13",240,273,94.7,41.3,3.2394,0,0,3.2,0,0.0393999999999997
"BW-14",NA,NA,NA,NA,NA,NA,NA,46.6977,NA,NA,NA
"BW-15","BW-2025-15",265,266,96.2,41.1,6.4014,0.5275,0.5275,6.4,0,0.0013999999999994
"NB-01",NA,NA,NA,NA,NA,NA,NA,2.4948,NA,NA,NA
"NB-02",NA,NA,NA,NA,NA,NA,NA,9.6225,NA,NA,NA
"NB-03",NA,NA,NA,NA,NA,NA,NA,2.5335,NA,NA,NA
"NB-05",NA,NA,NA,NA,NA,NA,NA,2.2925,NA,NA,NA
"NB-06",NA,NA,NA,NA,NA,NA,NA,13.1652,NA,NA,NA
"NB-07",NA,NA,NA,NA,NA,NA,NA,11.9527,NA,NA,NA
"NB-08",NA,NA,NA,NA,NA,NA,NA,5.9802,NA,NA,NA
"NB-09",NA,NA,NA,NA,NA,NA,NA,1.6572,NA,NA,NA
"NL-01",NA,NA,NA,NA,NA,NA,NA,12.6363,NA,NA,NA
"NL-02",NA,NA,NA,NA,NA,NA,NA,19.8501,NA,NA,NA
"NL-03",NA,NA,NA,NA,NA,NA,NA,60.4273,NA,NA,NA
"NL-04",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NL-05",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NL-06",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NL-07",NA,NA,NA,NA,NA,NA,NA,16.0053,NA,NA,NA
"NL-08",NA,NA,NA,NA,NA,NA,NA,0.0306,NA,NA,NA
"NL-09",NA,NA,NA,NA,NA,NA,NA,1.2096,NA,NA,NA
"NL-10","NL-2025-10",335,272,89.9,40.5,5.2552,0,0,5.3,0,-0.0447999999999995
"NL-11","NL-2025-11",465,297,97.6,41.2,15.6203,27.4373,27.4373,15.6,0,0.0203000000000007
"NL-12",NA,NA,NA,NA,NA,NA,NA,0.1058,NA,NA,NA
"NL-13","NL-2025-13",310,268,99.2,43.4,3.9571,0.118,0.118,4,0,-0.0428999999999999
"NL-14","NL-2025-14",440,288,94.7,42.4,20.1763,22.6285,22.6285,20.2,0,-0.0236999999999981
"NL-15","NL-2025-15",260,246,91.3,39.3,8.7289,9.5554,9.5554,8.7,0,0.0289000000000001
"NL-16","NL-2025-16",320,243,95.5,40.9,11.2615,15.1812,15.1812,11.3,0,-0.0385000000000009
"NL-17","NL-2025-17",265,254,89.7,40.1,3.8732,0.0141,0.0141,3.9,0,-0.0267999999999997
"NL-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NL-19","NL-2025-19",350,284,94.5,41.2,4.6673,0,0,4.7,0,-0.0327000000000002
"NL-20","NL-2025-20",400,293,91.6,40.5,12.7492,26.7488,26.7488,12.7,0,0.0492000000000008
"NL-21","NL-2025-21",660,306,96.9,44.1,19.2056,4.8306,36.5284,19.2,-31.6978,0.00560000000000116
"NL-22","NL-2025-22",565,309,90.6,39.8,19.4246,35.0925,35.0925,19.4,0,0.0246000000000031
"NL-23","NL-2025-23",535,305,91.7,39.4,17.2272,24.3019,24.3019,17.2,0,0.0272000000000006
"NL-24","NL-2025-24",490,297,97.7,43.3,14.5176,26.7003,26.7003,14.5,0,0.0175999999999998
"NL-25","NL-2025-25",535,303,86.1,37.9,20.4882,42.7896,42.7896,20.5,0,-0.0118000000000009
"NL-26","NL-2025-26",680,296,98.5,42.1,21.7633,34.6518,34.6518,21.8,0,-0.0366999999999997
"NL-27","NL-2025-27",640,306,95.2,42.8,20.7647,41.3121,41.3121,20.8,0,-0.0352999999999994
"NL-28","NL-2025-28",310,281,89.3,38.6,9.9764,17.6245,17.6245,10,0,-0.0236000000000001
"NL-29","NL-2025-29",355,276,100.7,40.9,4.2779,0,0,4.3,0,-0.0221
"NL-30","NL-2025-30",280,268,95.8,44.3,3.788,0,0,3.8,0,-0.012
"NL-31","NL-2025-31",260,255,90.4,40.3,4.6039,0.3431,0.3431,4.6,0,0.00390000000000068
"NL-32","NL-2025-32",298,281,NA,39.6,4.8974,0.0205,0.0205,4.9,0,-0.00260000000000016
"NL-33","NL-2025-33",320,285,97.5,42.4,5.115,0.3522,0.3522,5.1,0,0.0150000000000006
"NL-34","NL-2025-34",230,240,91.1,37.9,3.5557,0,0,3.6,0,-0.0443000000000002
"NL-35","NL-2025-35",515,300,97.5,37.9,20.3486,43.0883,43.0883,20.3,0,0.0486000000000004
"NL-36","NL-2025-36",260,275,93.8,41.4,3.7547,0.1388,0.1388,3.8,0,-0.0452999999999997
"NL-37","NL-2025-37",315,250,94.6,40.3,4.8238,0.0911,0.0911,4.8,0,0.0238000000000005
"NL-38","NL-2025-38",535,314,98.7,43.6,16.7918,28.2806,28.2806,16.8,0,-0.00820000000000221
"NL-39","NL-2025-39",270,255,94.1,42.4,3.8137,0,0,3.8,0,0.0137
"NL-40","NL-2025-40",490,302,93.9,41.2,25.7842,63.9624,63.9624,25.8,0,-0.0158000000000023
"NL-41","NL-2025-41",250,252,95.6,41.6,4.6098,0.0511,0.0511,4.6,0,0.00980000000000025
"Not banded",NA,NA,NA,NA,NA,NA,NA,0.1819,NA,NA,NA
"PRPE-01",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"PRPE-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"PRPE-03",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"RK-01",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"RK-02",NA,NA,NA,NA,NA,NA,NA,7.9721,NA,NA,NA
"RK-03",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"RK-04",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"RK-05",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"WTSH-01",NA,NA,NA,NA,NA,NA,NA,0.7379,NA,NA,NA
"WTSH-02",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"WTSH-03",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
