ID,Stomach_mass,Stomach_number,Gizz_mass,Gizz_number,Total_mass,Total_number
BW-2025-08,2.0614,9,0.1692,5,2.2306,14
NL-2025-21,4.8306,5,,,4.8306,71
NL-2025-21,23.5568,24,0.4858,2,24.0426,71
NL-2025-21,8.1410,8,,,8.1410,71
NL-2025-22,35.0925,179,0.4085,2,35.5010,181
NL-2025-23,24.3019,427,0.2455,6,24.5474,433
NL-2025-24,26.7003,516,0.1578,6,26.8581,522
NL-2025-25,42.7896,364,0.0010,1,42.7906,365
NL-2025-26,34.6518,260,0.7916,2,35.4434,262
BW-2025-09,0.0000,0,0.1266,8,0.1266,8
380-02021,0.0330,1,,,0.0330,1
380-02022,0.0000,0,,,0.0000,0
380-02023,0.0000,0,,,0.0000,0
380-02024,,,,,0.0000,0
380-02025,13.9067,14,,,13.9067,71
380-02026,0.0000,0,,,0.0000,0
380-02027,6.0320,6,,,6.0320,71
380-02028,16.2865,16,,,16.2865,71
NL-2025-27,41.3121,41,0.0000,0,41.3121,71
NL-2025-28,17.6245,69,0.0338,1,17.6583,70
BW-2025-10,26.3800,273,0.1915,10,26.5715,283
NL-2025-29,0.0000,0,0.0136,2,0.0136,2
380-02029,3.5756,4,,,3.5756,71
NL-2025-30,0.0000,0,0.0340,1,0.0340,1
380-02030,0.0130,2,,,0.0130,2
NL-2025-31,0.3431,3,0.1792,6,0.5223,9
NL-2025-32,0.0205,1,0.2131,9,0.2336,10
BW-2025-11,0.0031,1,0.4990,13,0.5021,14
380-02031,0.0000,0,,,0.0000,0
380-02031,0.4535,4,,,0.4535,4
380-02032,8.2913,148,,,8.2913,148
380-02032,26.8168,27,0.5029,3,27.3197,71
380-02033,0.0000,0,,,0.0000,0
380-02034,3.6635,4,,,3.6635,71
380-02035,0.9927,7,,,0.9927,7
380-02036,19.6783,20,,,19.6783,71
380-02037,0.8373,22,,,0.8373,22
NL-2025-33,0.3522,3,0.0795,9,0.4317,12
RK-2025-05,0.0000,0,0.0188,1,0.0188,1
NL-2025-34,0.0000,0,0.0305,3,0.0305,3
NL-2025-35,43.0883,334,0.2262,2,43.3145,336
NL-2025-36,0.1388,6,0.1528,19,0.2916,25
NL-2025-37,0.0911,3,0.2543,5,0.3454,8
NL-2025-38,28.2806,122,0.2293,23,28.5099,145
NL-2025-39,0.0000,0,0.2865,2,0.2865,2
NL-2025-40,63.9624,64,0.2430,2,64.2054,71
BW-2025-12,0.0302,5,0.1312,11,0.1614,16
NL-2025-41,0.0511,1,0.2830,17,0.3341,18
WTSH-2025-03,0.0000,0,0.0000,0,0.0000,0
BW-2025-13,0.0000,0,0.0245,1,0.0245,1
BW-2025-14,46.6977,47,0.0000,0,46.6977,71
BW-2025-15,0.5275,13,0.2549,10,0.7824,23
