"","ID","Total_plas_mass","Total_plas_number","Stomach_weight"
"175","380-02036",19.6783,71,NA
"176","380-02037",0.8373,22,NA
"177","NL-2025-33",0.4317,12,5.1
"178","RK-2025-05",0.0188,1,NA
"179","NL-2025-34",0.0305,3,3.6
"180","NL-2025-35",43.3145,336,20.3
"181","NL-2025-36",0.2916,25,3.8
"182","NL-2025-37",0.3454,8,4.8
"183","NL-2025-38",28.5099,145,16.8
"184","NL-2025-39",0.2865,2,3.8
"185","NL-2025-40",64.2054,71,25.8
"186","BW-2025-12",0.1614,16,NA
"187","NL-2025-41",0.3341,18,4.6
"188","WTSH-2025-03",0,0,NA
"189","BW-2025-13",0.0245,1,3.2
"190","BW-2025-14",46.6977,71,NA
"191","BW-2025-15",0.7824,23,6.4
